LFDNR,lat,lon
183,51.95843578066633,7.634660438566762
268,51.96367574748219,7.621167572863965
209,51.95679505272717,7.632688090448322
269,51.96371323465568,7.621297424361995
384,51.97757957502689,7.571614233186997
448,51.989559964834086,7.707059879942395
123,51.9558634501028,7.633734722054668
205,51.96013980689897,7.615614330296323
271,51.96212947561491,7.619657611746388
275,51.96248138803513,7.619763243492169
278,51.96077919140385,7.61902195827133
280,51.964111912412115,7.630804745271321
360,51.96674886466378,7.621457886000015
370,51.95620830741275,7.625519420582293
400,51.964864250637625,7.567083979761799
426,51.93098270160298,7.578141599007564
432,51.96200542464758,7.625963831538707
463,51.88590510941091,7.609622944462058
501,51.962768856555705,7.6316336037263435
502,51.9628296299772,7.630334379988884
504,51.96339543874808,7.631410843426262
505,51.96440098994793,7.6289940358836335
522,51.96493670194914,7.628686710377579
530,51.966934940840936,7.627388967910539
68,51.95830223959011,7.630125437171233
220,51.95784003906405,7.63211805045665
308,51.963432906996395,7.618445849271162
441,51.98728758824236,7.697773897983147
469,51.90477946130445,7.6537170373002
479,51.90064640950417,7.63969509147122
491,51.96484959269298,7.62312573832155
550,51.962712967292006,7.633788636375132
144,51.95492486185209,7.637283617259486
171,51.957399665562015,7.638328859609282
390,51.95489591292642,7.53232904004837
440,51.92301768761877,7.532132988747526
451,51.98632935791687,7.700980576996885
470,51.90407453561288,7.654093239832996
474,51.904027416863364,7.643040714465408
475,51.90414303871341,7.644490876864766
478,51.89894036863942,7.642957491483517
62,51.961103016970355,7.629542826724461
87,51.95583346699485,7.6288331391166775
213,51.95796524100528,7.6336127082509915
381,51.96992088321482,7.577739163571805
430,51.93576015498418,7.573917462049213
453,51.96404071455833,7.6262363725280995
457,51.96419907694693,7.6243974838919115
1344,51.968321469297535,7.622451591936871
1024,51.95797084069625,7.63953361327804
1340,51.927574250723154,7.668815257699799
1342,51.959286071125156,7.622553944341759
1350,51.947056958403365,7.625591394015678
1354,51.95006667660129,7.631552729636693
599,51.988062379935926,7.650783838208547
602,51.997012429631425,7.648690042827447
480,51.901781029984335,7.639878778798159
587,51.96681899211629,7.626694062228943
612,52.00194330824608,7.6150919534044474
1384,51.95914061409532,7.601264844267082
1028,51.91712995805239,7.7343823474249165
1110,51.99865536094932,7.560484187497181
1115,52.02176073982931,7.562438766460057
1116,51.931515735368706,7.626051765705313
1343,51.95500706523074,7.533341026312262
1365,51.960816642856514,7.63585379682245
1368,51.97279623204103,7.609848444420651
1370,51.95943893711932,7.645807139438447
1385,51.95842164597619,7.602029147007188
1395,51.94709745826149,7.6906738154188545
1399,51.96574096824806,7.632487310543224
1404,51.905296036703,7.6438892276613855
609,51.99523049030689,7.60300996219523
873,51.951882175121554,7.637652133927872
1348,51.9579128267899,7.613572620836802
1349,51.9561509790633,7.609042673298739
1358,51.963262799523555,7.628152388409823
1360,51.93097996548304,7.612593346812117
1363,51.95112458252778,7.63205893489926
1373,51.94648238781144,7.627980639599355
1389,51.97141046982293,7.614437157149892
1410,51.96460144786447,7.638126071023707
1411,51.96607565487359,7.638867433690392
1412,51.972619497829385,7.653548044903451
1413,51.958185041256705,7.604058685146828
1414,51.971040017097046,7.6219460327300235
1417,51.96125886287575,7.644558785982363
1419,51.95461109178616,7.618061907167033
1421,51.95984531829101,7.588003572446172
1422,51.96803503225786,7.6156621743658794
1423,51.94591729429288,7.621703175470429
605,51.98412706551096,7.6372865480297625
1318,51.964064799958386,7.647734646239949
1347,51.960092325161895,7.653384927832241
1351,51.947715221514734,7.628658669642605
1424,51.95453401624944,7.599313219676125
1426,51.97209914564348,7.560170788292887
1427,51.964220940197634,7.642167335807764
1428,51.969172152093485,7.6358334409476765
1429,51.95018707149364,7.597469683716586
607,51.985019712932335,7.635978492480878
987,51.95532719545749,7.641681553378082
1029,51.91604327587033,7.7261686154966815
1117,51.92815861657735,7.623395136906994
611,52.001395441074806,7.60673552042819
1668,51.96936161621583,7.593089009791286
1674,51.960308413222485,7.611606598588911
1678,51.91807458246295,7.730255263716532
1339,51.963443101329524,7.646424703815314
1357,51.95755514266457,7.643069587605877
1361,51.94003593107816,7.620335913188789
1372,51.90455127156015,7.649414604487743
1375,51.9594998023389,7.611660691587417
1376,51.921687410762644,7.679430641978674
1377,51.901938861578444,7.634875670001763
1379,51.960781821368876,7.6476442360299455
596,51.90540865130954,7.636515635925527
1341,51.9274144282493,7.668994514230791
1359,51.93120304786985,7.613982272755357
1371,51.95473870508011,7.6281506405748765
1380,51.95235467200522,7.61420365730152
1381,51.970291664618486,7.623308318742237
1383,51.95086026052486,7.625576966311664
1386,51.99690942737821,7.602855832087488
1388,51.96835904401552,7.630296808505472
1390,51.96316920631244,7.636350037641569
1391,51.92262877407918,7.700184071724107
1393,51.9978025496945,7.559127688101144
1394,51.90412306026514,7.634882160160207
1396,51.96815134648904,7.61714342616128
1400,51.95945983272032,7.658628891465154
1401,51.95933030787109,7.659098495372994
1402,51.96998406585825,7.632214466198004
1403,51.94420466982781,7.607531845626111
1408,51.9678865981106,7.652999320003277
1463,51.99985036651654,7.612142287774974
1519,52.00464320072012,7.711853688061604
1551,51.916150232778605,7.714504314522877
1645,51.95107596947125,7.638725073746768
1646,51.951078324139985,7.63892872559126
1686,51.901342369685246,7.639252710382713
388,51.954353333189424,7.527048856092563
439,51.924719068917575,7.522944293098728
517,51.96627865354159,7.62969344429517
1488,51.94584508232363,7.621676303896057
1505,51.958289801091354,7.602280565473649
1537,51.94545844485825,7.645937287267471
1538,51.945441806137744,7.646054186940205
1614,51.906498123701034,7.634316592490513
